episode,completion_rate,episode_reward,unfinished_tasks,agent_epsilon
0,0.56,-10.399999999999999,11,1.0
1,0.5625,-3.552713678800501e-15,10,0.9322301194154049
2,0.6078431372549019,-29.999999999999996,15,0.8142285204175609
3,0.6274509803921569,-7.433333333333333,11,0.7111635524897149
4,0.6122448979591837,-15.333333333333332,15,0.6211445383053219
5,0.5238095238095238,-38.266666666666666,22,0.5344229416520513
6,0.5306122448979592,-34.93333333333333,16,0.47622912292284103
7,0.5531914893617021,-12.166666666666666,12,0.42650460709830135
8,0.5434782608695652,-10.23333333333333,9,0.38389143477919885
9,0.48148148148148145,-27.499999999999996,19,0.3420891339682016
10,0.45161290322580644,-85.13333333333333,32,0.3033145315372582
11,0.2318840579710145,-251.60000000000002,44,0.2827589419554058
12,0.30158730158730157,-171.5666666666667,35,0.2609670281126685
13,0.4716981132075472,-32.26666666666667,18,0.23371867538818816
14,0.5652173913043478,-11.099999999999998,9,0.21142436319205632
15,0.5576923076923077,-16.93333333333333,16,0.18559023879528855
16,0.5660377358490566,-27.933333333333326,17,0.16291280823111093
17,0.36764705882352944,-132.03333333333333,32,0.14663577052834775
18,0.35294117647058826,-98.63333333333334,32,0.13264825480308728
19,0.423728813559322,-27.46666666666667,21,0.11879805134519765
20,0.543859649122807,-25.833333333333336,18,0.1042820154910064
21,0.4444444444444444,-67.76666666666665,30,0.09339361644125409
22,0.4791666666666667,-40.400000000000006,20,0.08533607153708872
23,0.4594594594594595,-20.5,14,0.07915509187866444
24,0.5121951219512195,-31.9,14,0.07196434741762824
25,0.41818181818181815,-49.36666666666667,23,0.06575561514114299
26,0.5344827586206896,-25.099999999999998,19,0.05772088009124167
27,0.58,-20.633333333333333,14,0.05092252885731386
28,0.4782608695652174,-53.33333333333332,19,0.04676299685992172
29,0.6170212765957447,-10.899999999999999,13,0.04104898613852031
30,0.5686274509803921,-13.166666666666668,14,0.03621424652392737
31,0.6458333333333334,-9.433333333333334,13,0.03147209942303359
32,0.5901639344262295,-27.200000000000003,18,0.02694270634579598
33,0.4838709677419355,-34.9,22,0.023650553933395897
34,0.6153846153846154,-11.9,12,0.020553584742122436
35,0.4426229508196721,-57.96666666666665,23,0.018223908064988973
36,0.4716981132075472,-43.73333333333334,19,0.0164031105360144
37,0.5319148936170213,-31.933333333333337,17,0.01476423357148172
38,0.5,-36.36666666666666,22,0.013222655514775413
39,0.5238095238095238,-18.666666666666664,15,0.01208186940302195
40,0.5254237288135594,-27.433333333333337,17,0.010605575411209664
41,0.625,-16.633333333333333,12,0.00998645168764533
42,0.4716981132075472,-42.96666666666667,22,0.00998645168764533
43,0.4423076923076923,-36.233333333333334,20,0.00998645168764533
44,0.5918367346938775,-18.266666666666666,14,0.00998645168764533
45,0.5471698113207547,-24.46666666666666,17,0.00998645168764533
46,0.5681818181818182,-13.000000000000002,10,0.00998645168764533
47,0.5555555555555556,-35.46666666666666,18,0.00998645168764533
48,0.7021276595744681,4.733333333333334,7,0.00998645168764533
49,0.5192307692307693,-29.633333333333333,17,0.00998645168764533
50,0.6122448979591837,6.699999999999999,7,0.00998645168764533
51,0.509090909090909,-37.26666666666666,19,0.00998645168764533
52,0.627906976744186,-5.133333333333335,10,0.00998645168764533
53,0.5714285714285714,-0.866666666666668,12,0.00998645168764533
54,0.4727272727272727,-33.06666666666666,21,0.00998645168764533
55,0.5833333333333334,-21.5,18,0.00998645168764533
56,0.5094339622641509,-15.166666666666668,16,0.00998645168764533
57,0.5102040816326531,-19.9,15,0.00998645168764533
58,0.6818181818181818,8.133333333333335,5,0.00998645168764533
59,0.5384615384615384,-12.266666666666666,14,0.00998645168764533
60,0.5116279069767442,-17.566666666666663,16,0.00998645168764533
61,0.574468085106383,-1.6333333333333342,9,0.00998645168764533
62,0.5263157894736842,-39.1,20,0.00998645168764533
63,0.5079365079365079,-34.266666666666666,20,0.00998645168764533
64,0.5,-53.29999999999998,22,0.00998645168764533
65,0.5555555555555556,-10.233333333333334,16,0.00998645168764533
66,0.5333333333333333,-15.766666666666664,16,0.00998645168764533
67,0.509090909090909,-23.233333333333334,18,0.00998645168764533
68,0.5882352941176471,-19.43333333333333,17,0.00998645168764533
69,0.7045454545454546,6.066666666666666,4,0.00998645168764533
70,0.6382978723404256,8.333333333333334,7,0.00998645168764533
71,0.6326530612244898,-2.8000000000000003,10,0.00998645168764533
72,0.7804878048780488,13.433333333333334,3,0.00998645168764533
73,0.56,-14.2,14,0.00998645168764533
74,0.5535714285714286,-11.899999999999999,13,0.00998645168764533
75,0.5370370370370371,-26.200000000000003,18,0.00998645168764533
76,0.5901639344262295,-26.266666666666666,20,0.00998645168764533
77,0.6041666666666666,-17.666666666666668,14,0.00998645168764533
78,0.5740740740740741,-8.533333333333333,12,0.00998645168764533
79,0.6521739130434783,-10.4,12,0.00998645168764533
80,0.5652173913043478,-18.133333333333333,13,0.00998645168764533
81,0.509090909090909,-30.133333333333333,18,0.00998645168764533
82,0.43478260869565216,-61.86666666666666,30,0.00998645168764533
83,0.4264705882352941,-54.46666666666666,28,0.00998645168764533
84,0.5686274509803921,-6.066666666666664,13,0.00998645168764533
85,0.7857142857142857,3.1333333333333337,5,0.00998645168764533
86,0.47058823529411764,-49.766666666666666,27,0.00998645168764533
87,0.4603174603174603,-47.13333333333333,27,0.00998645168764533
88,0.5384615384615384,-22.333333333333336,16,0.00998645168764533
89,0.7045454545454546,-6.533333333333331,8,0.00998645168764533
90,0.5660377358490566,-29.5,18,0.00998645168764533
91,0.5471698113207547,-25.43333333333333,19,0.00998645168764533
92,0.5555555555555556,-18.7,17,0.00998645168764533
93,0.6181818181818182,-0.8666666666666645,9,0.00998645168764533
94,0.49056603773584906,-16.799999999999997,17,0.00998645168764533
95,0.6078431372549019,0.5666666666666682,10,0.00998645168764533
96,0.5714285714285714,-23.466666666666665,18,0.00998645168764533
97,0.509090909090909,-19.733333333333334,15,0.00998645168764533
98,0.6274509803921569,-15.666666666666666,13,0.00998645168764533
99,0.47540983606557374,-42.133333333333326,24,0.00998645168764533
100,0.6382978723404256,-7.099999999999998,11,0.00998645168764533
101,0.484375,-41.0,24,0.00998645168764533
102,0.5636363636363636,-13.2,13,0.00998645168764533
103,0.5714285714285714,-21.733333333333334,17,0.00998645168764533
104,0.7209302325581395,2.7666666666666693,7,0.00998645168764533
105,0.5178571428571429,-27.6,19,0.00998645168764533
106,0.56,-25.666666666666668,17,0.00998645168764533
107,0.5254237288135594,-25.566666666666666,17,0.00998645168764533
108,0.46153846153846156,-34.56666666666666,20,0.00998645168764533
109,0.5,-29.366666666666667,19,0.00998645168764533
